Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,3/4/2015,1
Cumulative number of confirmed Ebola cases,Mali,3/4/2015,7
Cumulative number of probable Ebola cases,Mali,3/4/2015,1
Cumulative number of suspected Ebola cases,Mali,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,3/4/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,3/4/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,3/4/2015,19
Cumulative number of probable Ebola cases,Nigeria,3/4/2015,1
Cumulative number of suspected Ebola cases,Nigeria,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,3/4/2015,20
Cumulative number of confirmed Ebola cases,Senegal,3/4/2015,1
Cumulative number of probable Ebola cases,Senegal,3/4/2015,0
Cumulative number of suspected Ebola cases,Senegal,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,3/4/2015,1
Cumulative number of confirmed Ebola cases,Spain,3/4/2015,1
Cumulative number of probable Ebola cases,Spain,3/4/2015,0
Cumulative number of suspected Ebola cases,Spain,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,3/4/2015,1
Cumulative number of confirmed Ebola cases,United States of America,3/4/2015,4
Cumulative number of probable Ebola cases,United States of America,3/4/2015,0
Cumulative number of suspected Ebola cases,United States of America,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,3/4/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,3/4/2015,7
Cumulative number of probable Ebola deaths,Nigeria,3/4/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,3/4/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,3/4/2015,0
Cumulative number of probable Ebola deaths,Senegal,3/4/2015,0
Cumulative number of suspected Ebola deaths,Senegal,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,3/4/2015,0
Cumulative number of confirmed Ebola deaths,Spain,3/4/2015,0
Cumulative number of probable Ebola deaths,Spain,3/4/2015,0
Cumulative number of suspected Ebola deaths,Spain,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,3/4/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,3/4/2015,1
Cumulative number of probable Ebola deaths,United States of America,3/4/2015,0
Cumulative number of suspected Ebola deaths,United States of America,3/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,3/4/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,3/4/2015,3205
Cumulative number of confirmed Ebola cases,Guinea,3/4/2015,2808
Cumulative number of probable Ebola cases,Guinea,3/4/2015,392
Cumulative number of suspected Ebola cases,Guinea,3/4/2015,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,3/4/2015,2127
Cumulative number of confirmed Ebola deaths,Guinea,3/4/2015,1735
Cumulative number of probable Ebola deaths,Guinea,3/4/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,3/4/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,3/4/2015,3153
Cumulative number of probable Ebola cases,Liberia,3/4/2015,1888
Cumulative number of suspected Ebola cases,Liberia,3/4/2015,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,3/4/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,3/4/2015,11443
Cumulative number of confirmed Ebola cases,Sierra Leone,3/4/2015,8353
Cumulative number of probable Ebola cases,Sierra Leone,3/4/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,3/4/2015,2803
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,3/4/2015,3530
Cumulative number of confirmed Ebola deaths,Sierra Leone,3/4/2015,3164
Cumulative number of probable Ebola deaths,Sierra Leone,3/4/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,3/4/2015,158
Cumulative number of confirmed Ebola cases,United Kingdom,3/2/2015,1
Cumulative number of probable Ebola cases,United Kingdom,3/2/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,3/2/2015,3205
Cumulative number of confirmed Ebola cases,Guinea,3/2/2015,2808
Cumulative number of probable Ebola cases,Guinea,3/2/2015,392
Cumulative number of suspected Ebola cases,Guinea,3/2/2015,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,3/2/2015,2127
Cumulative number of confirmed Ebola deaths,Guinea,3/2/2015,1735
Cumulative number of probable Ebola deaths,Guinea,3/2/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,3/2/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,3/2/2015,3153
Cumulative number of probable Ebola cases,Liberia,3/2/2015,1888
Cumulative number of suspected Ebola cases,Liberia,3/2/2015,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,3/2/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,3/2/2015,11443
Cumulative number of confirmed Ebola cases,Sierra Leone,3/2/2015,8353
Cumulative number of probable Ebola cases,Sierra Leone,3/2/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,3/2/2015,2803
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,3/2/2015,3530
Cumulative number of confirmed Ebola deaths,Sierra Leone,3/2/2015,3164
Cumulative number of probable Ebola deaths,Sierra Leone,3/2/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,3/2/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,3/2/2015,1
Cumulative number of confirmed Ebola cases,Mali,3/2/2015,7
Cumulative number of probable Ebola cases,Mali,3/2/2015,1
Cumulative number of suspected Ebola cases,Mali,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,3/2/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,3/2/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,3/2/2015,19
Cumulative number of probable Ebola cases,Nigeria,3/2/2015,1
Cumulative number of suspected Ebola cases,Nigeria,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,3/2/2015,20
Cumulative number of confirmed Ebola cases,Senegal,3/2/2015,1
Cumulative number of probable Ebola cases,Senegal,3/2/2015,0
Cumulative number of suspected Ebola cases,Senegal,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,3/2/2015,1
Cumulative number of confirmed Ebola cases,Spain,3/2/2015,1
Cumulative number of probable Ebola cases,Spain,3/2/2015,0
Cumulative number of suspected Ebola cases,Spain,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,3/2/2015,1
Cumulative number of confirmed Ebola cases,United States of America,3/2/2015,4
Cumulative number of probable Ebola cases,United States of America,3/2/2015,0
Cumulative number of suspected Ebola cases,United States of America,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,3/2/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,3/2/2015,7
Cumulative number of probable Ebola deaths,Nigeria,3/2/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,3/2/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,3/2/2015,0
Cumulative number of probable Ebola deaths,Senegal,3/2/2015,0
Cumulative number of suspected Ebola deaths,Senegal,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,3/2/2015,0
Cumulative number of confirmed Ebola deaths,Spain,3/2/2015,0
Cumulative number of probable Ebola deaths,Spain,3/2/2015,0
Cumulative number of suspected Ebola deaths,Spain,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,3/2/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,3/2/2015,1
Cumulative number of probable Ebola deaths,United States of America,3/2/2015,0
Cumulative number of suspected Ebola deaths,United States of America,3/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,3/2/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,2/27/2015,1
Cumulative number of probable Ebola cases,United Kingdom,2/27/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2/27/2015,3190
Cumulative number of confirmed Ebola cases,Guinea,2/27/2015,2790
Cumulative number of probable Ebola cases,Guinea,2/27/2015,392
Cumulative number of suspected Ebola cases,Guinea,2/27/2015,8
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2/27/2015,2113
Cumulative number of confirmed Ebola deaths,Guinea,2/27/2015,1721
Cumulative number of probable Ebola deaths,Guinea,2/27/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2/27/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,2/27/2015,3153
Cumulative number of probable Ebola cases,Liberia,2/27/2015,1888
Cumulative number of suspected Ebola cases,Liberia,2/27/2015,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2/27/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2/27/2015,11370
Cumulative number of confirmed Ebola cases,Sierra Leone,2/27/2015,8320
Cumulative number of probable Ebola cases,Sierra Leone,2/27/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,2/27/2015,2763
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2/27/2015,3490
Cumulative number of confirmed Ebola deaths,Sierra Leone,2/27/2015,3124
Cumulative number of probable Ebola deaths,Sierra Leone,2/27/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2/27/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2/27/2015,1
Cumulative number of confirmed Ebola cases,Mali,2/27/2015,7
Cumulative number of probable Ebola cases,Mali,2/27/2015,1
Cumulative number of suspected Ebola cases,Mali,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2/27/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2/27/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,2/27/2015,19
Cumulative number of probable Ebola cases,Nigeria,2/27/2015,1
Cumulative number of suspected Ebola cases,Nigeria,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2/27/2015,20
Cumulative number of confirmed Ebola cases,Senegal,2/27/2015,1
Cumulative number of probable Ebola cases,Senegal,2/27/2015,0
Cumulative number of suspected Ebola cases,Senegal,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2/27/2015,1
Cumulative number of confirmed Ebola cases,Spain,2/27/2015,1
Cumulative number of probable Ebola cases,Spain,2/27/2015,0
Cumulative number of suspected Ebola cases,Spain,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2/27/2015,1
Cumulative number of confirmed Ebola cases,United States of America,2/27/2015,4
Cumulative number of probable Ebola cases,United States of America,2/27/2015,0
Cumulative number of suspected Ebola cases,United States of America,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2/27/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,2/27/2015,7
Cumulative number of probable Ebola deaths,Nigeria,2/27/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2/27/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,2/27/2015,0
Cumulative number of probable Ebola deaths,Senegal,2/27/2015,0
Cumulative number of suspected Ebola deaths,Senegal,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2/27/2015,0
Cumulative number of confirmed Ebola deaths,Spain,2/27/2015,0
Cumulative number of probable Ebola deaths,Spain,2/27/2015,0
Cumulative number of suspected Ebola deaths,Spain,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2/27/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,2/27/2015,1
Cumulative number of probable Ebola deaths,United States of America,2/27/2015,0
Cumulative number of suspected Ebola deaths,United States of America,2/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2/27/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,2/26/2015,1
Cumulative number of probable Ebola cases,United Kingdom,2/26/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2/26/2015,3175
Cumulative number of confirmed Ebola cases,Guinea,2/26/2015,2781
Cumulative number of probable Ebola cases,Guinea,2/26/2015,387
Cumulative number of suspected Ebola cases,Guinea,2/26/2015,7
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2/26/2015,2101
Cumulative number of confirmed Ebola deaths,Guinea,2/26/2015,1714
Cumulative number of probable Ebola deaths,Guinea,2/26/2015,387
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2/26/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,2/26/2015,3153
Cumulative number of probable Ebola cases,Liberia,2/26/2015,1888
Cumulative number of suspected Ebola cases,Liberia,2/26/2015,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2/26/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2/26/2015,11341
Cumulative number of confirmed Ebola cases,Sierra Leone,2/26/2015,8308
Cumulative number of probable Ebola cases,Sierra Leone,2/26/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,2/26/2015,2746
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2/26/2015,3479
Cumulative number of confirmed Ebola deaths,Sierra Leone,2/26/2015,3113
Cumulative number of probable Ebola deaths,Sierra Leone,2/26/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2/26/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2/26/2015,1
Cumulative number of confirmed Ebola cases,Mali,2/26/2015,7
Cumulative number of probable Ebola cases,Mali,2/26/2015,1
Cumulative number of suspected Ebola cases,Mali,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2/26/2015,6
